,overall_rank,mi_score,mi_rank_pct,rfecv_score,rfecv_rank_pct,lasso_coef,lasso_rank_pct,rf_importance,rf_rank_pct,composite_score,is_fbref
home_win_prob,1,0.18970136912709323,1.0,1.0,0.9285714285714286,0.2633042665213344,1.0,0.15310394112005596,0.9795918367346939,0.9770408163265307,False
away_win_prob,2,0.18099231919504488,0.9795918367346939,1.0,0.9285714285714286,0.2575663349666863,0.9795918367346939,0.15542767891253695,1.0,0.971938775510204,False
squad_value_ratio,3,0.06379536181114753,0.9387755102040817,1.0,0.9285714285714286,0.05963360323959588,0.7959183673469388,0.029126608543796863,0.8979591836734694,0.8903061224489797,False
draw_prob,4,0.02721737937057478,0.673469387755102,1.0,0.9285714285714286,0.052234281732995574,0.7755102040816326,0.0632702708679873,0.9591836734693877,0.8341836734693877,False
log_squad_value_ratio,5,0.05533893035914694,0.8979591836734694,1.0,0.9285714285714286,0.02501024125931674,0.4489795918367347,0.033179478104264186,0.9387755102040817,0.8035714285714286,False
home_roll_xg_against,6,0.026308733604859746,0.6530612244897959,1.0,0.9285714285714286,0.028856778981707697,0.5102040816326531,0.022840760447688794,0.8571428571428571,0.7372448979591837,False
squad_value_diff,7,0.06405052499400199,0.9591836734693877,1.0,0.9285714285714286,0.0,0.12244897959183673,0.029763664135207795,0.9183673469387755,0.7321428571428571,False
away_avg_player_value,8,0.03273968255148363,0.7755102040816326,0.09090909090909091,0.6530612244897959,0.07245916172210036,0.8571428571428571,0.01313672172440719,0.6326530612244898,0.7295918367346939,False
net_poss,9,0.01526804336767551,0.32653061224489793,0.3333333333333333,0.8163265306122449,0.10372918160703258,0.9591836734693877,0.016789098973956668,0.7142857142857143,0.7040816326530612,True
net_xg_diff,10,0.040523970878420634,0.8367346938775511,1.0,0.9285714285714286,0.0,0.12244897959183673,0.026221993660746276,0.8775510204081632,0.6913265306122449,False
home_squad_value,11,0.019269536596846493,0.42857142857142855,0.1111111111111111,0.6938775510204082,0.07804374856261405,0.8775510204081632,0.013729426534990964,0.6530612244897959,0.6632653061224489,False
home_player_ga90,12,0.044340980261062146,0.8775510204081632,0.043478260869565216,0.40816326530612246,0.08909319165785558,0.9387755102040817,0.011769717095946588,0.42857142857142855,0.6632653061224489,True
home_roll_poss,13,0.012115018591302817,0.20408163265306123,0.14285714285714285,0.7346938775510204,0.08365309139734282,0.9183673469387755,0.018082788729956556,0.7755102040816326,0.6581632653061225,True
