,overall_rank,mi_score,mi_rank_pct,rfecv_score,rfecv_rank_pct,lasso_coef,lasso_rank_pct,rf_importance,rf_rank_pct,composite_score,source
away_win_prob,1,0.18757920428185582,1.0,1.0,0.8287671232876712,0.24850654295823738,0.9863013698630136,0.12030531886022894,1.0,0.9537671232876712,understat
home_win_prob,2,0.18726877857904656,0.9863013698630136,1.0,0.8287671232876712,0.2781525870079777,1.0,0.11762991262052738,0.9863013698630136,0.9503424657534246,understat
log_squad_value_ratio,3,0.05145510936765563,0.9452054794520548,1.0,0.8287671232876712,0.05125530458746619,0.7945205479452054,0.02643841732378384,0.958904109589041,0.8818493150684931,understat
home_avg_player_value,4,0.040169666566692186,0.8493150684931506,1.0,0.8287671232876712,0.042633911924034644,0.7397260273972602,0.012229174852218134,0.7945205479452054,0.8030821917808219,understat
home_squad_value,5,0.042817252074408785,0.9178082191780822,1.0,0.8287671232876712,0.02782341928739415,0.5205479452054794,0.014650880237189618,0.8493150684931506,0.7791095890410958,understat
draw_prob,6,0.023198959208124315,0.6301369863013698,1.0,0.8287671232876712,0.03662707016509522,0.6575342465753424,0.04251118738687914,0.9726027397260274,0.7722602739726027,understat
squad_value_ratio,7,0.0520619214478697,0.958904109589041,1.0,0.8287671232876712,0.0023082985203694765,0.2602739726027397,0.02418068887011822,0.9452054794520548,0.7482876712328768,understat
away_avg_player_value,8,0.04018404732635661,0.863013698630137,1.0,0.8287671232876712,0.05403160570288427,0.8082191780821918,0.01032390424891264,0.4794520547945205,0.7448630136986302,understat
net_pl_starter_mins,9,0.006945019239839478,0.273972602739726,1.0,0.8287671232876712,0.09177526707412155,0.9452054794520548,0.021735547806194726,0.9178082191780822,0.7414383561643836,player
home_roll_xg_for,10,0.02167513124121445,0.5753424657534246,1.0,0.8287671232876712,0.03116543806411821,0.5753424657534246,0.015082854431750269,0.8904109589041096,0.7174657534246576,understat
net_pl_pct_fw,11,0.024816716266308436,0.6575342465753424,1.0,0.8287671232876712,0.029937572874279048,0.5616438356164384,0.012615529573339524,0.821917808219178,0.7174657534246576,player
squad_value_diff,12,0.06857107684575281,0.9726027397260274,1.0,0.8287671232876712,0.0,0.1232876712328767,0.02308987024571397,0.9315068493150684,0.7140410958904109,understat
away_roll_xg_for,13,0.025652295740343778,0.684931506849315,1.0,0.8287671232876712,0.03357495095284381,0.6164383561643836,0.011206671507149988,0.684931506849315,0.7037671232876712,understat
home_pl_ast_p90,14,0.009677695726689084,0.3698630136986301,1.0,0.8287671232876712,0.06037087306185146,0.8356164383561644,0.01190660370561376,0.7534246575342466,0.696917808219178,player
net_poss,15,0.023615286744363306,0.6438356164383562,0.3333333333333333,0.6301369863013698,0.08579349369018419,0.9178082191780822,0.010624287945174093,0.547945205479452,0.684931506849315,fbref_team
net_xg_diff,16,0.04104211033382654,0.8767123287671232,1.0,0.8287671232876712,0.0,0.1232876712328767,0.017440565530653644,0.9041095890410958,0.6832191780821918,understat
home_roll_xg_diff,17,0.019625627936036505,0.5205479452054794,1.0,0.8287671232876712,0.028593456183191212,0.5342465753424658,0.014312494304510329,0.8356164383561644,0.6797945205479452,understat
home_roll_poss,18,0.008836305637943909,0.3287671232876712,1.0,0.8287671232876712,0.08221955875186153,0.9041095890410958,0.010768925909954723,0.589041095890411,0.6626712328767124,fbref_team
home_pl_pct_fw,19,0.03559151044507569,0.8082191780821918,0.1,0.5342465753424658,0.06567373878943421,0.8493150684931506,0.010249034878590194,0.4520547945205479,0.660958904109589,player
home_roll_xg_against,20,0.02762684097308732,0.7123287671232876,1.0,0.8287671232876712,0.0,0.1232876712328767,0.014786791833008302,0.863013698630137,0.6318493150684932,understat
away_pl_sot_p90,21,0.0,0.07534246575342465,1.0,0.8287671232876712,0.09506367507499604,0.958904109589041,0.01116092533457025,0.6575342465753424,0.6301369863013698,player
away_pl_gls_p90,22,0.0,0.07534246575342465,1.0,0.8287671232876712,0.04415501426873288,0.7534246575342466,0.01227709424358072,0.8082191780821918,0.6164383561643836,player
home_pl_starter_mins,23,0.008120191088133666,0.3013698630136986,1.0,0.8287671232876712,0.023639284797792027,0.4520547945205479,0.01490041358493052,0.8767123287671232,0.6147260273972602,player
home_player_ga90,24,0.030895387155737364,0.7534246575342466,0.05263157894736842,0.410958904109589,0.10707377313113449,0.9726027397260274,0.007541900629181808,0.2602739726027397,0.5993150684931507,fbref_team
