league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
FRA-Ligue 1,1819,Amiens,Alexis Blin,FRA,MF,21,1996,27,25,1990,22.1,1,1,2,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09
FRA-Ligue 1,1819,Amiens,Bakaye Dibassy,MLI,DF,28,1989,34,32,2942,32.7,1,1,2,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06
FRA-Ligue 1,1819,Amiens,Bongani Zungu,RSA,MF,25,1992,5,3,230,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Amiens,Cheick Timite,CIV,"MF,FW",20,1997,27,15,1456,16.2,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12
FRA-Ligue 1,1819,Amiens,Eddy Gnahoré,FRA,MF,24,1993,34,24,2243,24.9,4,2,6,4,0,0,4,2,0.16,0.08,0.24,0.16,0.24
FRA-Ligue 1,1819,Amiens,Emil Krafth,SWE,DF,23,1994,35,33,2974,33.0,1,1,2,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06
FRA-Ligue 1,1819,Amiens,Erik Pieters,NED,DF,29,1988,15,14,1261,14.0,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14
FRA-Ligue 1,1819,Amiens,Ganso,BRA,MF,28,1989,12,5,520,5.8,0,2,2,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35
FRA-Ligue 1,1819,Amiens,Gaoussou Traoré,MLI,MF,18,1999,3,1,107,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Amiens,Guessouma Fofana,MTN,MF,25,1992,3,2,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Amiens,Jordan Lefort,MTN,"DF,MF",24,1993,23,21,1802,20.0,0,1,1,0,0,0,4,1,0.0,0.05,0.05,0.0,0.05
FRA-Ligue 1,1819,Amiens,Juan Ferney Otero,COL,"MF,FW",23,1995,33,24,2175,24.2,2,2,4,2,0,0,1,0,0.08,0.08,0.17,0.08,0.17
FRA-Ligue 1,1819,Amiens,Khaled Adénon,BEN,DF,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0
