league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes
FRA-Ligue 1,1819,Amiens,2018-08-12 Lyon-Amiens,2018-08-12,15:00:00,Matchweek 1,Sun,Away,L,0,2,Lyon,32,48263,Régis Gurtner,4-3-3,4-3-1-2,Franck Schneider,/en/matches/c17d091d/Lyon-Amiens-August-12-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-08-18 Amiens-Montpellier,2018-08-18,20:00:00,Matchweek 2,Sat,Home,L,1,2,Montpellier,58,10402,Prince-Désir Gouano,4-2-3-1,3-4-1-2,Karim Abed,/en/matches/73582813/Amiens-Montpellier-August-18-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-08-25 Amiens-Reims,2018-08-25,20:00:00,Matchweek 3,Sat,Home,W,4,1,Reims,58,10709,Régis Gurtner,4-2-3-1,4-2-3-1,Florent Batta,/en/matches/2f531cd7/Amiens-Reims-August-25-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-09-02 Saint-Étienne-Amiens,2018-09-02,15:00:00,Matchweek 4,Sun,Away,D,0,0,Saint-Étienne,37,30146,Régis Gurtner,4-3-3,4-2-3-1,Thomas Léonard,/en/matches/c40c52f5/Saint-Etienne-Amiens-September-2-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-09-15 Amiens-Lille,2018-09-15,20:00:00,Matchweek 5,Sat,Home,L,2,3,Lille,47,11569,Régis Gurtner,4-3-3,4-2-3-1,Nicolas Rainville,/en/matches/bab5eb0b/Amiens-Lille-September-15-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-09-22 Strasbourg-Amiens,2018-09-22,20:00:00,Matchweek 6,Sat,Away,L,1,3,Strasbourg,47,24683,Régis Gurtner,4-2-3-1,3-4-1-2,Jeremy Stinat,/en/matches/cdddf751/Strasbourg-Amiens-September-22-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-09-26 Amiens-Rennes,2018-09-26,19:00:00,Matchweek 7,Wed,Home,W,2,1,Rennes,49,10398,Prince-Désir Gouano,4-3-3,4-2-3-1,Johan Hamel,/en/matches/57d1a713/Amiens-Rennes-September-26-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-09-29 Caen-Amiens,2018-09-29,20:00:00,Matchweek 8,Sat,Away,L,0,1,Caen,48,15007,Régis Gurtner,4-2-3-1,4-4-2,Benoît Bastien,/en/matches/c6e02856/Caen-Amiens-September-29-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-10-06 Amiens-Dijon,2018-10-06,20:00:00,Matchweek 9,Sat,Home,W,1,0,Dijon,42,10194,Prince-Désir Gouano,4-2-3-1,4-2-3-1,Florent Batta,/en/matches/0140822a/Amiens-Dijon-October-6-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-10-20 Paris Saint-Germain-Amiens,2018-10-20,17:00:00,Matchweek 10,Sat,Away,L,0,5,Paris Saint-Germain,41,47497,Prince-Désir Gouano,4-4-1-1,4-3-3,Mikael Lesage,/en/matches/035d3aad/Paris-Saint-Germain-Amiens-October-20-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-10-27 Amiens-Nantes,2018-10-27,20:00:00,Matchweek 11,Sat,Home,L,1,2,Nantes,61,11384,Prince-Désir Gouano,4-2-3-1,4-3-3,Jeremy Stinat,/en/matches/35f3cce2/Amiens-Nantes-October-27-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-11-03 Nice-Amiens,2018-11-03,20:00:00,Matchweek 12,Sat,Away,L,0,1,Nice,48,15259,Prince-Désir Gouano,3-4-1-2,4-3-3,Johan Hamel,/en/matches/3d70a26a/Nice-Amiens-November-3-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-11-10 Toulouse-Amiens,2018-11-10,20:00:00,Matchweek 13,Sat,Away,W,1,0,Toulouse,52,13553,Prince-Désir Gouano,3-4-3,4-2-3-1,Eric Wattellier,/en/matches/3d953ec9/Toulouse-Amiens-November-10-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-11-25 Amiens-Marseille,2018-11-25,21:00:00,Matchweek 14,Sun,Home,L,1,3,Marseille,42,11932,Prince-Désir Gouano,4-3-3,3-4-3,Jérôme Miguelgorry,/en/matches/c6b05aa3/Amiens-Marseille-November-25-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-12-01 Nîmes-Amiens,2018-12-01,20:00:00,Matchweek 15,Sat,Away,L,0,3,Nîmes,49,12159,Prince-Désir Gouano,3-4-1-2,4-3-3,Karim Abed,/en/matches/6aaec2d9/Nimes-Amiens-December-1-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-12-04 Amiens-Monaco,2018-12-04,19:00:00,Matchweek 16,Tue,Home,L,0,2,Monaco,60,11048,Prince-Désir Gouano,4-2-3-1,4-1-4-1,Jérôme Brisard,/en/matches/b2f04890/Amiens-Monaco-December-4-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-12-08 Guingamp-Amiens,2018-12-08,20:00:00,Matchweek 17,Sat,Away,W,2,1,Guingamp,46,14089,Prince-Désir Gouano,4-3-3,4-2-3-1,Benoît Bastien,/en/matches/3b63d22f/Guingamp-Amiens-December-8-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2018-12-23 Bordeaux-Amiens,2018-12-23,17:00:00,Matchweek 19,Sun,Away,D,1,1,Bordeaux,49,23343,Prince-Désir Gouano,4-2-3-1,4-3-3,Mikael Lesage,/en/matches/d6f30ea4/Bordeaux-Amiens-December-23-2018-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-01-08 Amiens-Angers,2019-01-08,19:00:00,Matchweek 18,Tue,Home,D,0,0,Angers,60,10209,Prince-Désir Gouano,4-2-3-1,5-4-1,Johan Hamel,/en/matches/5dcf2d4b/Amiens-Angers-January-8-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-01-12 Amiens-Paris Saint-Germain,2019-01-12,17:00:00,Matchweek 20,Sat,Home,L,0,3,Paris Saint-Germain,26,11932,Prince-Désir Gouano,4-5-1,4-3-1-2,Florent Batta,/en/matches/e4e3baae/Amiens-Paris-Saint-Germain-January-12-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-01-18 Lille-Amiens,2019-01-18,20:45:00,Matchweek 21,Fri,Away,L,1,2,Lille,37,27211,Prince-Désir Gouano,4-3-3,4-2-3-1,Willy Delajod,/en/matches/4101cfa0/Lille-Amiens-January-18-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-01-27 Amiens-Lyon,2019-01-27,17:00:00,Matchweek 22,Sun,Home,L,0,1,Lyon,36,10017,Prince-Désir Gouano,4-4-1-1,4-2-3-1,Jérôme Miguelgorry,/en/matches/c2610f32/Amiens-Lyon-January-27-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-02-02 Rennes-Amiens,2019-02-02,20:00:00,Matchweek 23,Sat,Away,L,0,1,Rennes,46,17783,Prince-Désir Gouano,4-2-3-1,4-2-3-1,Olivier Thual,/en/matches/0b44ddfa/Rennes-Amiens-February-2-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-02-09 Amiens-Caen,2019-02-09,20:00:00,Matchweek 24,Sat,Home,W,1,0,Caen,54,9373,Prince-Désir Gouano,4-4-2,4-3-3,Eric Wattellier,/en/matches/7f453a3f/Amiens-Caen-February-9-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-02-16 Marseille-Amiens,2019-02-16,17:00:00,Matchweek 25,Sat,Away,L,0,2,Marseille,40,50871,Prince-Désir Gouano,4-4-2,4-4-2,Johan Hamel,/en/matches/bcbe3bb8/Marseille-Amiens-February-16-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-02-23 Amiens-Nice,2019-02-23,20:00:00,Matchweek 26,Sat,Home,W,1,0,Nice,38,11074,Prince-Désir Gouano,4-4-2,4-3-3,Thomas Léonard,/en/matches/eadd0daf/Amiens-Nice-February-23-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-03-02 Reims-Amiens,2019-03-02,20:00:00,Matchweek 27,Sat,Away,D,2,2,Reims,39,12549,Prince-Désir Gouano,4-4-2,4-2-3-1,Franck Schneider,/en/matches/65ca5dfd/Reims-Amiens-March-2-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-03-09 Amiens-Nîmes,2019-03-09,20:00:00,Matchweek 28,Sat,Home,W,2,1,Nîmes,47,10523,Prince-Désir Gouano,4-4-2,4-2-2-2,Willy Delajod,/en/matches/ea36fa0f/Amiens-Nimes-March-9-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-03-16 Angers-Amiens,2019-03-16,20:00:00,Matchweek 29,Sat,Away,D,0,0,Angers,48,10427,Prince-Désir Gouano,4-4-2,4-1-4-1,Benoît Millot,/en/matches/9e72173a/Angers-Amiens-March-16-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-03-31 Amiens-Bordeaux,2019-03-31,15:00:00,Matchweek 30,Sun,Home,D,0,0,Bordeaux,54,11765,Prince-Désir Gouano,4-4-2,4-4-1-1,Mikael Lesage,/en/matches/120d1f11/Amiens-Bordeaux-March-31-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-04-06 Amiens-Saint-Étienne,2019-04-06,20:00:00,Matchweek 31,Sat,Home,D,2,2,Saint-Étienne,34,11832,Prince-Désir Gouano,4-3-3,4-2-3-1,Eric Wattellier,/en/matches/ffba8abf/Amiens-Saint-Etienne-April-6-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-04-12 Dijon-Amiens,2019-04-12,19:00:00,Matchweek 32,Fri,Away,D,0,0,Dijon,44,12532,Prince-Désir Gouano,4-4-2,4-3-3,Karim Abed,/en/matches/ef0a622f/Dijon-Amiens-April-12-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-04-21 Nantes-Amiens,2019-04-21,15:00:00,Matchweek 33,Sun,Away,L,2,3,Nantes,45,19253,Prince-Désir Gouano,4-3-3,4-3-3,Thomas Léonard,/en/matches/0f09bba4/Nantes-Amiens-April-21-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-04-28 Amiens-Strasbourg,2019-04-28,15:00:00,Matchweek 34,Sun,Home,D,0,0,Strasbourg,47,11833,Régis Gurtner,4-4-2,3-4-3,Stéphanie Frappart,/en/matches/f2d50612/Amiens-Strasbourg-April-28-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-05-05 Montpellier-Amiens,2019-05-05,15:00:00,Matchweek 35,Sun,Away,D,1,1,Montpellier,49,14330,Thomas Monconduit,4-2-3-1,3-4-1-2,Olivier Thual,/en/matches/703a0d85/Montpellier-Amiens-May-5-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-05-11 Amiens-Toulouse,2019-05-11,20:00:00,Matchweek 36,Sat,Home,D,0,0,Toulouse,55,11684,Thomas Monconduit,4-2-3-1,4-2-3-1,François Letexier,/en/matches/17e6a99a/Amiens-Toulouse-May-11-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-05-18 Monaco-Amiens,2019-05-18,21:00:00,Matchweek 37,Sat,Away,L,0,2,Monaco,59,10188,Thomas Monconduit,4-4-2,4-4-2,Clément Turpin,/en/matches/1553a917/Monaco-Amiens-May-18-2019-Ligue-1,
FRA-Ligue 1,1819,Amiens,2019-05-24 Amiens-Guingamp,2019-05-24,21:05:00,Matchweek 38,Fri,Home,W,2,1,Guingamp,37,11932,Prince-Désir Gouano,4-4-2,4-2-3-1,Amaury Delerue,/en/matches/daed4265/Amiens-Guingamp-May-24-2019-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-08-11 Angers-Nîmes,2018-08-11,20:00:00,Matchweek 1,Sat,Home,L,3,4,Nîmes,56,9534,Ismaël Traoré,4-2-3-1,4-4-2,Antony Gautier,/en/matches/f18b4a9b/Angers-Nimes-August-11-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-08-18 Rennes-Angers,2018-08-18,20:00:00,Matchweek 2,Sat,Away,L,0,1,Rennes,42,19300,Ismaël Traoré,4-3-3,4-1-4-1,Olivier Thual,/en/matches/797535fb/Rennes-Angers-August-18-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-08-25 Paris Saint-Germain-Angers,2018-08-25,17:00:00,Matchweek 3,Sat,Away,L,1,3,Paris Saint-Germain,40,47105,Ismaël Traoré,4-1-4-1,3-4-1-2,Jérôme Miguelgorry,/en/matches/8f368053/Paris-Saint-Germain-Angers-August-25-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-09-01 Angers-Lille,2018-09-01,20:00:00,Matchweek 4,Sat,Home,W,1,0,Lille,32,9245,Ismaël Traoré,4-3-3,4-2-3-1,Eric Wattellier,/en/matches/e65833de/Angers-Lille-September-1-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-09-15 Dijon-Angers,2018-09-15,20:00:00,Matchweek 5,Sat,Away,W,3,1,Dijon,39,12275,Ismaël Traoré,4-3-3,4-2-3-1,Hakim Ben El Hadj Salem,/en/matches/12f2cf99/Dijon-Angers-September-15-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-09-22 Angers-Toulouse,2018-09-22,20:00:00,Matchweek 6,Sat,Home,D,0,0,Toulouse,40,10021,Ismaël Traoré,4-1-4-1,4-2-3-1,Florent Batta,/en/matches/38a2d72e/Angers-Toulouse-September-22-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-09-25 Monaco-Angers,2018-09-25,19:00:00,Matchweek 7,Tue,Away,W,1,0,Monaco,33,5502,Cheikh N'Doye,4-1-4-1,4-2-3-1,Willy Delajod,/en/matches/5af8fe8c/Monaco-Angers-September-25-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-09-29 Angers-Guingamp,2018-09-29,20:00:00,Matchweek 8,Sat,Home,L,0,1,Guingamp,61,9483,Ismaël Traoré,4-3-3,3-4-3,Nicolas Rainville,/en/matches/11f6d0e1/Angers-Guingamp-September-29-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-10-06 Angers-Strasbourg,2018-10-06,20:00:00,Matchweek 9,Sat,Home,D,2,2,Strasbourg,62,8930,Ismaël Traoré,4-1-4-1,3-4-1-2,Johan Hamel,/en/matches/e85bc527/Angers-Strasbourg-October-6-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-10-20 Reims-Angers,2018-10-20,20:00:00,Matchweek 10,Sat,Away,D,1,1,Reims,45,10954,Ismaël Traoré,4-3-3,4-2-3-1,Eric Wattellier,/en/matches/0d7f77b0/Reims-Angers-October-20-2018-Ligue-1,
FRA-Ligue 1,1819,Angers,2018-10-27 Angers-Lyon,2018-10-27,17:00:00,Matchweek 11,Sat,Home,L,1,2,Lyon,31,14186,Ismaël Traoré,4-1-4-1,4-3-3,Ruddy Buquet,/en/matches/91e106d9/Angers-Lyon-October-27-2018-Ligue-1,
